,Structure,Fréquence
2140,nc adj prep det nc adj prep nc,5
1691,nc adj adj nc prep np,5
833,nc adj csu nc adj,5
2741,nc adj prep det nc prep,5
1582,nc np np adj,5
2064,v prep v prep v,5
819,adj nc prep nc nc nc,5
1694,nc v nc np,5
2625,nc np v prep nc adj,5
1493,nc prep np nc prep nc,5
2898,nc nc prep nc prep nc prep det nc,5
1143,adj adj prep nc adj,5
2602,nc prep nc prep det nc prep,5
2487,nc prep det nc prep nc prep,5
980,nc prep np np np,5
831,nc prep det nc prep det nc prep np,5
2035,nc adj prep nc prep nc adj prep nc,5
1840,np np nc v,5
2845,nc prep nc adj v prep nc adj,5
1773,nc adj prep det nc prep det nc adj,5
926,np nc prep det nc,5
1330,nc np prep det nc np,5
1010,nc adj prep nc prep nc prep np,5
1070,nc csu nc nc,5
2757,nc v prep pro pro,5
1326,nc prep nc adj prep,5
2346,nc prep det nc prep nc adj prep nc nc,5
1252,nc np adj adj,5
1316,nc prep nc adj prep det np,5
2355,nc adv adj prep nc adj prep nc,5
2206,nc prep det nc adj prep v,5
894,nc adj prep nc csu nc,5
1253,nc adj prep np v,5
1679,adj nc v prep det nc,5
906,nc adj prep nc prep,5
2442,adv prep nc adj,5
2704,np np nc np np,5
2404,nc adj prep nc adj prep det nc,5
1285,nc prep nc adj nc adj,5
1334,nc prep det nc adj v,5
1065,np v prep nc adj,5
1234,nc v adv adj,5
1368,nc prep nc prep adj np,5
2207,nc prep det nc adj prep np prep np,5
1399,nc prep nc prep nc csu adj,5
860,nc prep nc prep nc adj nc,5
1788,nc v prep det nc prep nc prep nc,5
2248,adj nc prep nc v,5
1748,nc adj prep det nc adj prep det nc adj,5
864,np nc prep det nc np,5
1087,nc prep np v np,5
867,nc prep v nc,5
871,adj prep prep nc,5
1223,nc csu adj,5
2254,nc prep nc prep nc prep nc adj prep det nc,5
1654,nc adj prep nc adj nc,5
941,nc csu nc adv adj,5
2825,adj nc prep det nc np,5
1375,nc np prep det nc nc,5
875,nc adj prep det np adj,5
2975,nc np prep det nc prep nc prep np,5
1722,nc prep nc prep nc prep nc v,5
230,v adj adj,5
3280,np np np nc np np,5
3044,nc prep nc prep nc prep nc v nc adj,5
281,np v np,5
3033,nc prep nc csu,5
3266,nc nc prep nc prep nc adj prep nc,5
60,v nc adj adj,5
544,adj nc v prep nc,5
3268,nc adj prep det np adj prep nc,5
3269,nc adj prep nc csu prep det nc prep nc,5
113,nc prep nc adj v prep np,5
240,np np np np v,5
3024,v nc prep nc prep det nc,5
3023,v nc prep nc prep det np,5
122,nc prep v prep det nc,5
265,adj nc prep nc adj prep det nc,5
3016,nc prep nc adj adj prep det nc,5
303,nc prep nc prep det np adj,5
226,nc prep det nc prep adj nc,5
583,v adv,5
3091,v v prep nc adj,5
666,np v nc adj,5
348,nc prep nc prep nc np np,5
3658,nc adj v prep det nc adj csu v prep det nc,5
636,v det nc,5
3217,np nc nc np v nc,5
688,nc prep nc csu prep det nc,5
694,nc prep det nc np adj,5
717,nc prep nc prep prep nc adj,5
3229,np nc np np nc np,5
609,nc adj nc v,5
701,np nc nc nc np,5
318,np v det nc prep nc adj,5
602,nc adj nc adj nc,5
408,nc prep nc v det nc adj,5
126,adj adv pro v adv prep det v pro,5
357,nc prep nc prep nc prep det nc prep nc,5
775,nc adj prep nc csu nc prep nc,5
136,nc adv adj prep det nc,5
3596,nc prep det nc prep nc adj prep nc,5
484,np v prep det nc,5
142,nc prep nc prep nc csu prep det nc,5
657,np v det nc np csu prep nc np,4
626,nc adj prep nc prep nc nc,4
480,nc nc csu nc adj,4
985,nc np np prep det nc,4
3226,nc prep nc nc v prep det nc,4
988,nc prep nc adj prep nc nc,4
2755,nc v prep nc pro,4
2748,nc v prep det nc prep nc prep det nc,4
2038,nc np np np nc,4
1566,v nc prep det nc,4
1307,nc prep nc prep nc v prep np,4
997,nc prep det nc prep nc nc,4
3406,nc adj prep nc csu,4
2972,nc prep nc prep nc adj v prep np,4
486,v nc prep nc prep nc v det nc np,4
489,adj nc adj v prep det nc,4
1005,np adj np nc,4
3231,adj nc prep det nc adj prep det nc adj,4
1125,nc prep np v adj,4
3232,nc adj prep det nc adj prep det nc nc prep nc,4
2831,nc adj nc adj prep adj nc,4
1240,nc nc prep nc csu nc prep nc,4
1018,nc prep det nc prep det np,4
